ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
فضفاضة,slobodi,насипно състояние,solta,松散,鬆散,slobodi,volné,løs,losse,loose,lahtine,löysä,vrac,lose,χαλαρά,jennès,חופשי,ढीला,tsis ruaj,laza,longgar,sciolto,緩い,huru,QeyHa',,느슨한,vaļīgā,Palaidos,longgar,mitluqa,ma'k'óol,løs,flojo,شل,luźne,à solta,vrac,потерять,лабаво,labavo,voľná,svoboden,flojo,Lös,หลวม,gevşek,вільні,ڈھیلا,lỏng lẻo,rhydd
تفقد,izgubiti,губят,perdre,失去,失去,izgubiti,ztratit,tabe,verliezen,lose,kaotada,menettää,perdre,verlieren,χάνουν,pèdi,לאבד,खो,poob,elveszít,kehilangan,perdere,失う,kupoteza,luj,,잃게,zaudēt,prarasti,kehilangan,jitilfu l-,K'astal,miste,perder,از دست دادن,stracić,perder,pierde,потерять,изгубити,izgubiti,stratiť,izgubijo,perder,förlora,สูญเสีย,kaybetmek,втратити,کھو,mất,yn colli
بصوت عال,glasno,силен,fort,大声,大聲,glasno,hlasité,højt,luid,loud,valju,kovaa,Loud,Laut,δυνατά,byen fò,רם,जोर से,tshawv,hangos,nyaring,forte,大声で,sauti,HoS jachpu'DI', ,큰 소리로,skaļa,garsiai,kuat,ħsejjes għolja,ruidoso,høyt,ruidoso,با صدای بلند,głośny,alto,tare,громко,гласно,glasno,hlasné,glasno,ruidoso,högt,เสียงดัง,yüksek sesle,гучний,اونچی آواز,ồn ào,swnllyd
الحب,ljubav,Любов,l'amor,爱,愛,ljubav,Láska,Kærlighed,liefde,love,Armastus,Rakkaus,amour,Liebe,Αγάπη,Lanmou,באהבה,प्यार,hlub,szerelem,Cinta,amore,愛,upendo,parmaq,,사랑,mīlu,meilė,cinta,imħabba,yaakunaj,kjærlighet,ra hne,عشق,miłość,amor,dragoste,любовь,љубав,ljubav,láska,ljubezen,amor,Kärlek,ความรัก,aşk,Кохання,محبت,Yêu,cariad
منخفضة,niska,ниска,baixa,低,低,niska,nízká,lav,lage,low,madal,alhainen,faible,niedrige,χαμηλή,bese,נמוך,कम,tsis tshua muaj,alacsony,rendah,basso,低,chini,'eS,,낮은,zema,mažas,rendah,baxxa,jo'osa'al,lav,baja,کم,niski,baixa,scăzut,низкая,ниско,nisko,nízka,nizko,baja,låga,ต่ำ,düşük,низький,پست,thấp,isel
الغداء,ručak,обяд,dinar,午餐,午餐,ručak,oběd,frokost,lunch,lunch,lõunasöök,lounas,déjeuner,Mittagessen,μεσημεριανό γεύμα,manje midi,ארוחת צהריים,दोपहर का भोजन,noj su,ebéd,Makan Siang,pranzo,ランチ,chakula cha mchana,megh,,점심,pusdienas,pietūs,Makan Tengahari,lunch,almuerzo,lunsj,almuerzo,ناهار,obiad,almoço,masa de prânz,обед,ручак,ručak,obed,kosilo,almuerzo,lunch,อาหารกลางวัน,Öğle Yemeği,обід,دوپہر کا کھانا,ăn trưa,cinio
مجلة,magazin,списание,revista,杂志,雜誌,magazin,časopis,Magazine,Magazine,magazine,ajakiri,Magazine,magazine,Magazin,περιοδικό,magazin,מגזין,पत्रिका,Magazine,magazin,majalah,rivista,雑誌,gazeti,magazine,,잡지,žurnāls,žurnalas,majalah,magazin,pikil,Magazine,revista,مجله,Magazyn,revista,Revista,Журнал,магазин,magazin,časopis,Revija,revista,Magazine,นิตยสาร,Dergi,Журнал,میگزین,tạp chí,cylchgrawn
أنثى,muški,мъжки,mascle,男性,男性,Muški,muž,mand,man,male,mees,mies,mâle,Männlich,αρσενικό,gason,זכר,पुरुष,txiv neej,férfi,Laki-laki,uomo,男性,mwanamume,loD,,남성,vīrietis,vyras,Jejaka,maskili,máak,mann,ar 'ño̲ho̲,مرد,mężczyzna,macho,de sex masculin,мужчины,мужјак,mužjak,muž,moški,hombre,hane,เพศชาย,Erkek,Самець,مرد,Nam,Gwryw
رجل,čovjek,мъж,home,男子,男子,čovjek,muž,mand,man,man,mees,mies,homme,Mann,ο άνθρωπος,moun,האיש,आदमी,txiv neej,ember,Laki-laki,uomo,男,mtu,loD,,남자,vīrietis,vyras,lelaki,bniedem,máak,mann,ar 'ño̲ho̲,مرد,człowiek,homem,om,человек,човек,čovek,muž,človek,hombre,man,คน,adam,людина,آدمی,người đàn ông,dyn
خريطة,karta,карта,mapa,地图,地圖,Karta,mapa,kort,kaart,map,kaarti,kartta,carte,Karte,Χάρτης,kat,מפה,मानचित्र,daim ntawv qhia,megjelenítése,peta,Mappa,地図,Ramani,He 'angbogh wItlha',  ,지도,karte,žemėlapyje,Peta,mappa,mapa,kart,'me̲ni,نقشه,mapę,mapa,hartă,Карта,мапа,mapa,Mapa,zemljevid,mapa,karta,แผนที่,harita,Карта,نقشہ,bản đồ,map
آذار/مارس,Ožujka,Март,Març,3 月,3 月,Ožujak,Březen,Marts,Maart,March,Märts,Maaliskuuta,Mars,März,Μάρτιος,Mas,מרץ,मार्च,Lub peb hlis ntuj,Március,Maret,Marzo,3 月,Machi,ma'rIch,,3 월,Marts,Kovas,Mac,March,Marzo,Mars,Märso,مارس,Marca,Março de,Martie,Март,Марта,Marta,Marca,Marca,Marzo,Mars,มีนาคม,Mart,Березня,مارچ,Tháng ba,Mawrth
السوق,tržište,пазар,mercat,市场,市場,tržište,trh,marked,markt,market,turu,markkinoiden,marché,Markt,αγορά,mache,שוק,बाजार,lag luam,piac,pasar,mercato,市場,soko,malja''e',,시장,tirgus,rinkos,pasaran,fis-suq,mercado,markedet,jár ta̲i,بازار,rynku,mercado,Piata,рынок,тржиште,tržište,trhu,trg,mercado,marknaden,ตลาด,Pazar,ринок,مارکیٹ,thị trường,farchnad
الزواج,brak,брак,matrimoni,婚姻,婚姻,brak,manželství,ægteskab,huwelijk,marriage,abielu,avioliitto,mariage,Ehe,Γάμος,maryaj,נישואים,शादी,lub neej,házasság,pernikahan,matrimonio,結婚,ndoa,tlhogh,,결혼,laulības,santuoka,perkahwinan,iż-żwieġ,matrimonio,ekteskap,'me̲hñä,ازدواج,małżeństwo,casamento,căsătorie,брак,брак,brak,manželstvo,zakonske zveze,matrimonio,äktenskap,การแต่งงาน,evlilik,шлюб,شادی,hôn nhân,priodas
الزواج,oženiti,се ожени,casar-se amb,嫁给,嫁給,oženiti,vzít si,gifte sig med,trouwen,marry,abielluda,naimisiin,se marier,heiraten,παντρευτεί,arye,להתחתן,से शादी,yuav,feleségül,menikah,sposare,結婚します。,kuoa,nay,,결혼,precēt,tuoktis,berkahwin dengan,ewwi; x lil,ts'o'okol u yéetel,gifte,nthätu̲wi ko,ازدواج,poślubić,casar com,Casatoreste-te cu,жениться,удати за,udati za,manželstvo,poročiti,casarse con,gifta sig,แต่งงาน,evlenmek,одружитися,سے شادی,kết hôn,briodi
المواد,materijal,материал,material,材料,材料,materijal,materiál,materiale,materiaal,material,materjali,materiaali,matériel,Material,υλικό,materyèl,חומר,सामग्री,khoom siv,anyag,bahan,materiale,材料,nyenzo,Hap 'u', ,재료,materiāls,medžiaga,bahan,materjal,xooko'obo',materiale,hñei,مواد,materiał,material,material,материал,материјал,materijal,materiál,materiala,material,material,วัสดุ,malzeme,матеріал,مواد,tài liệu,deunydd
الرياضيات,matematika,математика,matemàtiques,数学,數學,matematika,matematické,math,wiskunde,math,Matemaatika,matematiikka,Math,Mathematik,μαθηματικά,matematik,מתמטיקה,गणित,kev ua lej,matematikai,matematika,matematica,数学,hisabati,math,,수학,matemātika,matematikos,Matematik,math,Matemáticas,matematikk,Matemáticas,ریاضی,Matematyka,matemática,matematica,математика,математика,matematika,matematika,matematika,Matemáticas,matematik,คณิตศาสตร์,Matematik,математики,ریاضی,toán học,mathemateg
أيار/مايو,Svibanj,Май,Maig,5 月,5 月,Svibanj,Květen,Maj,Mei,May,Võib,Voi,Mai,Mai,Μπορεί να,Me,מאי,हो सकता है,Tej zaum,Május,Mungkin,Maggio,5 月,Mei,jaj,,5 월,Maijs,Gali,Mungkin,Jistgħu,Mayo,Mai,Mäyo,ممکن است,Może,Maio,Poate,Мая,Маја,Maja,Môže,Maja,Mayo,Kan,อาจ,Mayıs,Травень,مئی,Có thể,Efallai y bydd
يعني,Znači,средна стойност,mitjana aritmètica,意思是,意思是,Znači,průměr,middelværdi,gemiddelde,mean,mõtlen,keskiarvo,moyenne,meine,σημαίνει,vle di,זאת אומרת,मतलब,txhais hais tias,azt jelenti,berarti,significa,意味,maana,qej,,평균,vidējā,turiu galvoje,min,tfisser,u k'áat u ya'al,mener,ir bo̲ni,ميانگين,oznacza,Quer dizer,înseamnă,Среднее,Значи,Znači,priemer,pomeni,significa,menar,หมายถึงอะไร,Demek,маю на увазі,مطلب,có nghĩa là,yn golygu
الطب,medicina,медицина,Medicina,医学,醫學,lijek,lékařství,medicin,geneeskunde,medicine,meditsiin,lääke,médecine,Medizin,ιατρική,medikaman,רפואה,दवा,tshuaj,orvostudomány,obat,medicina,医学,dawa,Hergh,,의학,Medicīna,medicina,ubat-ubatan,mediċina,ts'aak.,medisin,'ñithi,پزشکی,Medycyna,medicina,Medicina,Медицина,медицина,medicina,medicína,medicine,medicina,medicin,ยา,Tıp,медицина,دوا,y học,meddygaeth
تذوب,rastopiti,стопи,fondre,融化,融化,rastopiti,taveniny,smelte,smelten,melt,sulatada,sulaa,faire fondre,Schmelze,λειωμένο μέταλλο,onn,להמיס,पिघल,yaj,olvadás,mencair,della fusione,メルト,kuyeyuka,tet,,용융,izkausēt,išlydyti,cair,Ħoll,fusión,Smelt,fusión,ذوب,Melt,derreter,se topesc,расплава,отопити,otopiti,taveniny,taline,fusión,smälta,ละลาย,eritmek,розтопити,پگھل,làm tan chảy,toddi
المعادن,metala,метал,metall,金属,金屬,metala,kov,metal,metaal,metal,metallist,metalli,Metal,Metall,μέταλλο,bòs,מתכת,धातु,hlau,fém,logam,metallo,金属,chuma,baS,,금속,metāls,metalo,logam,metall,metal,Metal,metal,فلز,metalu,metal,metal,металл,метала,metala,kov,kovine,metal,metall,โลหะ,metal,метал,دھات,kim loại,metel
متر,metar,метър,metre,米,米,metar,metr,meter,meter,meter,arvesti,mittari,compteur,Messgerät,Μετρητής,mèt,מד,मीटर,' meter ',mérő,meter,Metro,メーター,mita,meter,,미터,metrs,matuoklis,meter,arloġġ,medidor u,meter,medidor ar,متر,Miernik,medidor de,metru,метр,метар,metar,Merač,meter,medidor de,mätaren,เมตร,metre,метр,میٹر,đồng hồ,mesurydd
الحليب,mlijeko,мляко,llet,牛奶,牛奶,mlijeko,mléko,mælk,melk,milk,piima,maito,lait,Milch,γάλα,lèt,חלב,दूध,mis,tej,susu,latte,ミルク,maziwa,nIm,,우유,piens,pieno,susu,tal-ħalib,yiim,melk,'ba,شیر,mleko,leite,lapte,молоко,млеко,mleko,mlieko,mleko,leche,mjölk,นม,süt,молоко,دودھ,sữa,llaeth
مليون دولار,milijuna,милион,milions,万,萬,milijuna,milionů,millioner,miljoen,million,miljonit eurot,miljoonaa euroa,millions,Mio.,εκατομμύρια,milyon,מיליון,दस लाख,plhom,millió,juta,milioni di euro,百万円,milioni,'uy',,백만,miljons,EUR,juta,miljun,millones,millioner,millones,میلیون نفر,milion,milhões,milioane de euro,млн.,милион,milion,miliónov EUR,milijonov,millones,miljoner,ล้านบาท,milyon,мільйон,لاکھ,triệu,miliwn
دقيقة,minuti,минута,minut,分钟,分鐘,minuta,minuta,minut,minuut,minute,minut,minuutin,minute,Minute,λεπτά,minit,דקה,मिनट,feeb,perc,menit,minuto,分,dakika,tup,,분,minūte,kelio,minit,minuta,minutos,minutt,ya t'olo ora,دقیقه,minut,minuto,minut,минута,минут,minut,minúta,minuto,minutos,minut,นาที,dakika,хвилина,منٹ,phút,munud
الاثنين,Ponedjeljak,Понеделник,Dilluns,星期一,星期一,Ponedjeljak,Pondělí,Mandag,Maandag,Monday,Esmaspäev,Maanantai,Lundi,Montag,Δευτέρα,lendi,שני,सोमवार,Hnub ib,Hétfő,Senin,Lunedì,(月曜日),Siku ya Jumatatu,monday,,월요일,Pirmdiena,Pirmadienis,Hari Isnin,It-tnejn,Lunes,Mandag,Nonxi,دوشنبه,Od poniedziałku,Segunda-feira,Luni,Понедельник,У понедељак,U ponedeljak,Pondelok,Ponedeljek,Lunes,Måndag,วันจันทร์,Pazartesi,Понеділок,پیر,Thứ hai,Dydd Llun
المال,novac,пари,diners,钱,錢,novac,peníze,penge,geld,money,raha,rahaa,argent,Geld,χρήματα,lajan,כסף,पैसे,nyiaj,pénz,uang,soldi,お金,fedha,Huch,,돈,nauda,pinigų,Wang,flus,táak'in,penger,bojä,پول,pieniądze,dinheiro,bani,деньги,новац,novac,peniaze,denar,dinero,pengar,เงิน,para,гроші,پیسہ,tiền,arian
في الشهر,mjesec,месец,mes,个月,個月,mjesec,měsíc,måned,maand,month,kuu,kuukausi,mois,Monat,μήνα,mwa,חודש,माह,hli,hónap,bulan,mese,ヶ月,mwezi,maqtagh,,달,mēnesis,mėnesio,bulan,ix-xahar,wi'inal,måned,Ar zänä,ماه,miesiąc,mês,lună,месяц,месец дана,mesec dana,mesiac,mesec,mes,månad,เดือน,ay,місяць,ماہ,Tháng,y mis
القمر,mjesec,Луната,Lluna,月亮,月亮,mjesec,měsíc,Månen,maan,moon,Moon,Moon,Lune,Mond,φεγγάρι,lalin,הירח,चाँद,hli,Hold,bulan,Luna,月,mwezi,pa'QIS,,문,mēness,mėnulis,Moon,Qamar,Ujo',månen,Zänä,ماه,Księżyc,lua,luna,Луна,месец,mesec,mesiac,luna,Luna,Moon,ดวงจันทร์,ay,місяць,چاند,Mặt Trăng,Lleuad
صباح,jutro,сутрин,matí,早上,早上,jutro,dopoledne,morgen,ochtend,morning,hommikul,aamu,matin,Morgen,πρωί,maten,. בוקר טוב,सुबह,sawv ntxov,reggel,pagi,mattina,朝,asubuhi,po,,아침,no rīta,ryte,Pagi,filgħodu,Ichil u sáastal k'iin,morgen,'bu̲ xudi,صبح,rano,manhã,dimineata,утро,Добро јутро,Dobro jutro,ráno,zjutraj,por la mañana,morgon,ตอนเช้า,sabah,ранок,صبح,buổi sáng,bore
الأم,majka,майка,mare,母亲,母親,majka,matka,mor,moeder,mother,ema,äiti,mère,Mutter,μητέρα,manman,אמא,माँ,niam,anya,Ibu,madre,母,mama,SoS,,어머니,māte,motina,Ibu,omm,na',mor,nänä,مادر,matka,mãe,mama,мать,мајка,majka,matka,mati,madre,mor,แม่,Anne,матері,ماں,mẹ,mam
الجبل,planine,планински,muntanya,山,山,planine,Hora,Mountain,berg,mountain,mägi,Mountain,montagne,Berg,βουνό,mòn,הר,पहाड़,roob,hegyi,Gunung,montagna,山,mlima,HuD,,산,kalns,kalnų,Gunung,muntanji,witso',fjell,LA,کوه,góry,montanha,munte,Гора,планина,planina,horské,gorskih,montaña,Mountain,ภูเขา,dağ,Гора,پہاڑ,núi,Mynydd
الماوس,miš,мишка,ratolí,鼠标,滑鼠,miš,myš,mus,muis,mouse,hiir,hiiri,souris,Maus,ποντίκι,sourit,העכבר,माउस,nas,egér,mouse,mouse,マウス,kipanya,mouse,,마우스,peles,pelės,tetikus,tal-maws,ch'o',mus,t'u̲ngu,ماوس,myszy,rato,mouse-ul,мышь,миш,miš,myš,miško,ratón,mus,เมาส์,fare,миші,ماؤس,chuột,llygoden
الفم,usta,устата,boca,嘴里,嘴裡,usta,ústa,munden,mond,mouth,suu,suun,bouche,Mund,στόμα,bouch,הפה,मुँह,qhov ncauj,száj,mulut,bocca,口の中,kinywa,nuj,,입,mute,burnos,mulut,ħalq,chi',munn,ir ne,دهان,usta,boca,gura,рот,уста,usta,ústa,usta,boca,mun,ปาก,ağız,рот,منہ,miệng,genau
فيلم,film,филм,pel. lícula,电影,電影,film,Film,film,film,movie,filmi,elokuva,film,Film,ταινία,sinema,הסרט,फिल्म,yeeb yam,film,film,film,映画,sinema,movie,,영화,filmu,filmas,filem,filmat,cha'ano',film,película,فیلم,film,filme,Film,фильм,филм,film,Film,film,película,film,ภาพยนตร์,Film,фільм,فلم,phim,fideo
القتل,ubojstvo,убийство,assassinat,谋杀,謀殺,ubojstvo,vražda,mord,moord,murder,mõrv,murha,meurtre,Mord,δολοφονία,touye moun,רצח,हत्या,tua neeg,gyilkosság,pembunuhan,omicidio,殺人事件,mauaji,muqtovor,,살인,slepkavība,žmogžudystė,pembunuhan,murder,asesinato,drap,asesinato,قتل,morderstwo,assassinato,crimă,убийство,убиство,ubistvo,vražda,umor,asesinato,mord,ฆาตกรรม,cinayet,вбивство,قتل,giết người,llofruddiaeth
الموسيقى,glazba,музика,música,音乐,音樂,glazba,hudba,musik,muziek,music,muusika,Musiikki,musique,Musik,μουσική,mizik,מוסיקה,संगीत,suab paj nruag,zene,musik,musica,音楽,muziki,QoQ,,음악,mūzika,muzika,muzik,tal-mużika,paax,musikk,'me̲i,موسیقی,Muzyka,música,muzica,музыка,музика,muzika,Hudba,glasba,música,musik,เพลง,müzik,музика,موسیقی,âm nhạc,cerddoriaeth
آلة موسيقية,glazbeni instrument,музикален инструмент,musical instrument,乐器,樂器,glazbeni instrument,hudební nástroj,musikinstrument,muziekinstrument,musical instrument,muusikariista,soittimien,instrument de musique,Musikinstrument,μουσικό όργανο,enstriman mizik,כלי נגינה,संगीत वाद्य यंत्र,kev ntsuas suab paj nruas,hangszer,alat musik,strumento musicale,楽器,chombo cha muziki,jan,,악기,mūzikas instruments,muzikos instrumentas,alat muzik,l-istrument mużikali,instrumento musical,musikkinstrument,instrumento musical,ساز,instrument muzyczny,instrumento musical,instrument muzical,музыкальный инструмент,музички инструмент,muzički instrument,hudobný nástroj,glasbilo,instrumento musical,musikinstrument,เครื่องดนตรี,müzik aleti,музичний інструмент,موسیقی,dụng cụ âm nhạc,offeryn cerdd
تضييق,uske,тесен,estrets,缩小,縮小,uske,úzké,smalle,smal,narrow,kitsas,kapea,rétrécir,schmale,στενή,jennen,לצמצם,संकीर्ण,nqaim,keskeny,sempit,stretta,絞り込む,nyembamba,leSpal,,좁은,šaurs,siauras,sempit,dejjaq,estrecho,begrense,estrecho,باریک,wąskie,Estreito,înguste,узкий,Сузите,Suzite,úzky,ozke,estrecho,smala,แคบลง,dar,звузити,تنگ,thu hẹp,cul
طبيعة,priroda,природата,natura,性质,性質,priroda,Příroda,natur,natuur,nature,Loodus,Luonto,nature,Natur,φύση,nati,טבע,प्रकृति,xwm,természet,alam,natura,自然,asili,tlhoQ,,자연,daba,Gamta,alam semula jadi,in-natura,ku,natur,nä'ä,طبیعت,Natura,natureza,natura,Природа,природа,priroda,Príroda,narave,naturaleza,natur,ธรรมชาติ,doğa,Природа,فطرت,Thiên nhiên,natur
